filename,X,Y,Z,R,G,B
15plot,16.378561940086414,8.217741890659385,7.897466116304355,4.668498318167268,-1.6677634068129963,2.392000571239459
1plot,30.97468265256006,19.426510234697453,5.154677329541994,6.063872624910987,2.2664824211993526,1.6523555020782377
33plot,3.835799662719064,4.0358744394618835,4.3941990286278205,1.831851601131253,1.8319132280484793,1.826153956473156
41plot,77.6115748415785,82.17190309388677,81.43745135638166,6.6489464879416555,6.572995750020001,6.253562423361457
46plot,85.55168016024192,90.22815281868124,93.92193497362071,6.87860571694881,6.832143472865357,6.663142054590471
51plot,13.686957924787393,9.37768759656025,56.264626170930455,1.3200350483567076,2.270825843717695,5.671713863488246
58plot,20.274471627827552,20.043894521875345,61.652301524837235,1.8546657286810324,3.660071114212136,5.827278891150845
64plot,40.4785105535426,31.0209844241184,65.49702387922008,5.36725439106042,3.747006402216824,5.941638677964809
6plot,18.464500294734588,11.093749228059597,4.434177657736943,4.880932962303651,1.6355114399617896,1.70655065055281
72plot,5.354801614214807,9.391779007732383,8.619948206905576,-17.85434426488662,2.9958150807755075,2.3793233367773325
74plot,29.308700185281566,48.32233892261669,34.98620083544602,1.6700190544945905,5.90139247968013,4.207257305021774
84plot,56.26147205661748,50.50092697386619,5.1939215424580025,7.195544967387911,4.873329801610044,-22.181028760249113
92plot,71.26909605381603,75.8122117781724,9.014852730272755,7.421962335825104,6.268143420899972,-26.24341018406976
